altitude_km,energy_eV,branch_probability,total_hot_O_production_cm-3_s-1,branch_hot_O_production_cm-3_s-1
163.75,3.495,0.265,489.3366755393626,129.6742190179311
166.25,3.495,0.265,373.9553991584395,99.09818077698647
168.75,3.495,0.265,286.58757239238406,75.94570668398178
171.25,3.495,0.265,220.87523985660732,58.531938562000946
173.75,3.495,0.265,171.5121852366805,45.45072908772033
176.25,3.495,0.265,134.2977331045725,35.588899272711714
178.75,3.495,0.265,106.05571532532932,28.10476456121227
181.25,3.495,0.265,83.93324446983823,22.242309784507132
183.75,3.495,0.265,66.26742447790488,17.560867486644796
186.25,3.495,0.265,52.66693832612046,13.956738656421923
188.75,3.495,0.265,42.15823344489921,11.17193186289829
191.25,3.495,0.265,33.996420043761205,9.00905131159672
193.75,3.495,0.265,27.61608975230238,7.318263784360131
196.25,3.495,0.265,22.595470302544307,5.9877996301742415
198.75,3.495,0.265,18.617616831008625,4.933668460217286
201.25,3.495,0.265,15.520184193651835,4.112848811317736
203.75,3.495,0.265,13.074112094345432,3.46463970500154
206.25,3.495,0.265,11.07385519590727,2.9345716269154267
208.75,3.495,0.265,9.429375932020825,2.4987846219855188
211.25,3.495,0.265,8.070236211119928,2.138612595946781
213.75,3.495,0.265,6.941555747858159,1.839512273182412
216.25,3.495,0.265,6.000202105450508,1.5900535579443846
218.75,3.495,0.265,5.211616583629703,1.3810783946618714
221.25,3.495,0.265,4.548112473490357,1.2052498054749445
223.75,3.495,0.265,3.9880757221743455,1.0568400663762016
226.25,3.495,0.265,3.5135460118770063,0.9310896931474067
228.75,3.495,0.265,3.110277414475083,0.8242235148358971
231.25,3.495,0.265,2.7667531493080237,0.7331895845666263
233.75,3.495,0.265,2.4734889519783274,0.6554745722742568
236.25,3.495,0.265,2.2228942607694457,0.5890669791039032
238.75,3.495,0.265,2.008951174146752,0.5323720611488892
241.25,3.495,0.265,1.8269081123746664,0.4841306497792866
243.75,3.495,0.265,1.673348775483958,0.4434374255032489
246.25,3.495,0.265,1.5460625213966888,0.4097065681701225
248.75,3.495,0.265,1.4438938640370163,0.3826318739698093
251.25,3.495,0.265,1.3654034802564725,0.36183192226796523
